,deal_names,deal_sites
0,AmazonBasicsCarryingCaseforNintendoSwitch,Amazon
1,18-OzBlueDogBakerySoftiesNaturalDogTreats(PeanutButter),Amazon
2,KwiksetElectronicKeypadDeadboltw/MotorizedLocking(SatinNickel),Amazon
3,PrimeMembers:256GBSamsungUSBType-CFlashDrive(Blue),Amazon
4,"GIGABYTEG5MDLaptop:i5-11400H,15.6""144Hz,8GBDDR4,256GBSSD,RTX3050Ti",Best Buy
5,"WellsFargoAutograph℠Card:Earn30,000BonusPointsWhenYouSpend$1,500inFirst3Months",Wells Fargo - Bank Advertiser
6,PrimeMembers:SushiGo!ThePickandPassCardGame,Amazon
7,CitiPremier®Card:Spend$4KinFirst3MonthstoEarn80KThankYou®Points,Citi - Bank Advertiser
8,BearMountainBBQHardwoodPellets(GourmetBlend):20-lb$10.50or40-lb,Amazon
9,PrimeMembers:64GB2021AppleTV4KStreamingMediaPlayer,Amazon
10,adidasWomen'sUltraboostSlip-OnDNAShoes,adidas
11,MarioKart8Deluxe+SuperMarioOdyssey(NintendoSwitchDigitalCodes),Amazon
12,Fidelity®YouthAccount:Earn$50rewardonceaccountisactivated,Fidelity
13,LogitechGLightspeed:G305WirelessGamingMouse+G435WirelessGamingHeadset,Dell Technologies
14,9-BinDeltaChildrenDeluxeToyStorageOrganizer,Amazon
15,2TBSamsungT7ShieldExternalUSB3.2Gen2RuggedSolidStateDrive,Samsung
16,PrimeMembers:LEGOMarvelNanoGauntletIronManBuildingSet,Amazon
17,AmazonFireTVStick4Kw/AlexaVoiceRemote,Amazon
18,NikeCoupon:AdditionalSavingsonSelectSelectApparelandShoes,Nike
19,PrimeMembers:6-PackYefootNylonBraidedUSB-AtoLightningChargingCables,Amazon
20,"Tac-Force3""SpringAssistedFoldingPocketKnife",Amazon
21,PrimeMembers:256GBSamsungProPlusU3A2V30microSDXCMemoryCardw/Reader,Amazon
22,PrimeMembers:KasaSmartDeals:2-PackWi-FiPlugMini15A,Amazon
23,"Smith&WessonM&PBodyguard6.5""StainlessSteelFoldingKnife",Amazon
24,PrimeMembers:15-PieceGearWrenchRatchetingSerpentineBeltToolSet,Amazon
25,"KershawLeek3""PocketKnife(BlackorSilver)",Amazon
26,PrimeMembers:LogitechGDual-MotorGamingRacingWheel&PedalsforPS/Xbox,Amazon
27,PrimeMembers:50'(2x25')GoveeRGBSmartLEDStripLights,Amazon
28,"AmazonBasicsRubberEncasedHexDumbbell:25-lbs$24.45,15-lbs",Amazon
29,"NintendoSwitchGames:SuperMario3DWorld+Bowser'sFury,Yoshi'sCraftedWorld",Amazon
30,PrimeMembers:4K&Blu-raySets:AvatarTheLastAirbenderComplete(Blu-ray),Amazon
31,CapitalOneQuicksilverCashRewardsCreditCard:Earn$200CashBonuswith,Capital One - Bank Advertiser
32,60-Countof1'3MSoftButylRubberStrip-Calk,Amazon
33,100-PieceMilwaukeeShockwaveSteelScrewDriverBitSetw/PackoutCase,Amazon
34,"20""AirKingWholeHouseWindowFan(Gray)",Amazon
35,"GameStopProMembers:SelectCollectibles,Toys,BoardGames,PokemonCards",GameStop
36,VictorinoxSwissArmyKnives:12-FunctionTinkerPocketKnife,Amazon
37,PrimeMembers:RazerUniversalQuickChargingStandforXboxSeriesX|S(Various),Amazon
38,32-CtQuiltedNorthernUltraSoft&Strong2-PlyMegaToiletPaperRolls,Amazon
39,"WellsFargoActiveCash®Card:A$200CashRewardsBonusAfterSpending$1,000inFirst3Months",Wells Fargo - Bank Advertiser
40,PrimeMembers:2TBSamsung980ProM.2PCIeGen4SolidStateDriveSSD,Amazon
41,PrimeMembers:SennheiserHD599SEorHD599AroundEarOpenBackHeadphone,Amazon
42,4.2ozColgateOpticWhiteStainFighterTeethWhiteningToothpaste(CleanMintPaste),CVS
43,"14TBWDRedPlusSATA3.5""InternalNASHardDrive",Western Digital
44,"SelectAmazonAccounts:ChooseanAmazonPickupLocationforOrder,Get",Amazon
45,"Hover-1BuggyAttachmentfor6.5""&8""ElectricHoverboards",Amazon
46,PokemonScarletorPokemonVioletPre-Order(NintendoSwitch),Super Shop
47,PrimeMembers:SynologyDS1522+5-BayNASDisklessDiskStation,Amazon
